,name,jersey,class,position,height,weight,hometown,hs,img,stats_page
0,Aidan Mack,82,Jr.,TE,6.3,205.0,"WHIPPANY, NJ",Seton Hall Prep,https://muhlenbergsports.com//images/2024/8/25/FBmack24_jqrmD.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/aidan-mack/8327
0,Caden Reph,83,Jr.,TE,6.1,250.0,"NORTHAMPTON, PA",Northampton,https://muhlenbergsports.com//images/2024/8/25/FBreph24_xWGhT.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/caden-reph/8169
0,Cody Whalen,84,So.,WR,5.1,170.0,"JERICHO, NY",Jericho,https://muhlenbergsports.com//images/2024/8/25/FBwhalen24_8gOEP.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/cody-whalen/8189
0,Chris Holland,85,Fr.,TE,6.4,225.0,"ROSWELL, GA",Roswell,https://muhlenbergsports.com//images/2024/8/25/FBholland24_933jW.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/chris-holland/8318
0,Michael Bemis,86,Fr.,WR,6.3,185.0,"AMBLER, PA",Wissahickon,https://muhlenbergsports.com//images/2024/8/25/FBbemis24_Tfk1l.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/michael-bemis/8302
0,Shane Corkill,86,Fr.,WR,6.0,185.0,"EDGEWATER, MD",South River,https://muhlenbergsports.com//images/2024/8/25/FBcorkill24_tflu2.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/shane-corkill/8308
0,Jordan Kiley,87,Sr.,TE,6.2,240.0,"PHILLIPSBURG, NJ",Phillipsburg,https://muhlenbergsports.com//images/2024/8/25/FBkiley24_MlG5l.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/jordan-kiley/8144
0,Logan Nordeck,88,Fr.,WR,5.1,185.0,"ARBUTUS, MD",Archbishop Curley,https://muhlenbergsports.com//images/2024/8/25/FBnordeck24_dFkHc.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/logan-nordeck/8333
0,Christopher Short,88,So.,WR,5.11,161.0,"CLOSTER, NJ",Northern Valley Demarest,https://muhlenbergsports.com//images/2024/8/25/FBshort24_dZESX.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/christopher-short/8181
0,Zaki Williams,89,Jr.,TE,6.0,250.0,"ORANGE, NJ",St. Mark's School (Mass.),https://muhlenbergsports.com//images/2024/8/25/FBwilliamsz24_0BZwa.jpg?width=50,https://muhlenbergsports.com/sports/football/roster/zaki-williams/8191
